,Unnamed: 0,Unnamed: 0.1,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt8_n0_dx,dt8_n0_dy,track_id_unique_pred,track_id_parent_pred
0,0,0,0,10505,19,0,1767.0773657265242,141.22938970268405,-207.25837018050493,39.16336373995472,1,0
1,1,1,0,12877,2,0,2002.050875164104,1523.6779041637244,-30.01076509264521,-66.25422988662149,2,0
2,2,2,0,10320,47,0,833.5317789539772,20.207452407971324,0.0,0.0,3,0
3,3,3,0,13264,13,0,1061.1355087064546,1742.2309821803103,-47.66583100916955,-9.595125647988883,4,0
4,4,4,0,10513,12,0,451.531296624313,151.23794173692352,0.0,0.0,5,0
5,5,5,0,13201,49,0,1117.8109782750028,1700.2523186856265,-57.99954420843506,-9.982171788874439,6,0
6,6,6,0,11540,1,0,1225.7494742631322,731.9730609267772,-6.448178566336764,-15.98324750061181,7,0
7,7,7,0,12310,22,0,814.5074961100541,1143.7540055979402,-15.881992790282311,-41.14772952128692,8,0
8,8,8,0,12314,55,0,0.0,1145.0085875644068,60.42437945695168,29.95715204020735,9,0
9,9,9,0,10531,52,0,322.1596817034843,165.10895206888222,88.71242561353131,65.19038991486869,10,0
10,10,10,0,11302,18,0,1828.6903995231592,612.4037453763212,-17.78331930439117,48.98372669560797,11,0
11,11,11,0,13543,48,0,321.83075428613057,1893.5430661785683,44.540722506561,-6.873476422718794,12,0
12,12,12,0,12462,38,0,1774.056871441983,1249.1147819122787,-79.34232934615011,44.389845374120114,13,0
13,13,13,0,12719,41,0,1293.6841819341635,1400.2895236830573,18.992698078542162,-14.043800450526078,14,0
14,14,14,0,12786,34,0,54.984216540756684,1461.2465149763464,-54.984216540756684,-3.2355798943335685,15,0
15,15,15,0,10611,6,0,698.2126496921214,229.23858539521413,-63.812882179639814,34.70430653665514,16,0
16,16,16,0,12212,31,0,1531.3841710293473,1075.1070859865226,-288.12232498084967,36.610983698448074,17,0
17,17,17,0,12404,3,0,1544.4020473026071,1205.6920349156344,5.787391971063244,15.786699799190727,18,0
18,18,18,0,11575,9,0,1253.2826276670935,750.7090186508627,4.677252208688515,-16.325038496183087,19,0
19,19,19,0,11386,25,0,97.45629845798796,649.4579710697137,20.635911447441693,-80.59428638825888,20,0
20,20,20,0,10428,44,0,1984.8276585261096,84.24689853287647,33.68748033743168,32.253975223676704,21,0
21,21,21,0,12798,26,0,1224.3347697545255,1470.8150996823779,0.0,0.0,22,0
22,22,22,0,12862,37,0,755.4815862000634,1511.6223336187259,-145.31654567337455,40.323243506796864,23,0
23,23,23,1,36291,63,0,1909.4974408480289,1316.5231892082863,-80.21872962211728,-116.14011285148493,25,0
24,24,24,1,36419,41,0,1312.6768800127056,1386.2457232325312,-11.596483256684904,21.920693952770762,14,0
25,25,25,1,35012,25,0,118.09220990542966,568.863684681455,34.09314186323189,-45.47548630490826,20,0
26,26,26,1,36549,2,0,1972.0401100714587,1457.4236742771036,-35.218950026291616,-56.004159358560855,2,0
27,27,27,1,36550,34,0,0.0,1458.010935082013,35.218161570771244,-20.018292186777447,15,0
28,28,28,1,36749,27,26,1289.8914692531255,1599.4802125555955,72.22267454908388,4.4949923403621606,26,0
29,29,29,1,941376,44,0,2018.5151388635413,116.5008737565532,0.0,0.0,21,0
30,30,30,1,36691,37,0,610.1650405266888,1551.9455771255227,-56.07686602899844,24.97800363216561,23,0
31,31,31,1,36948,13,0,1013.4696776972853,1732.6358565323214,-10.482941470653486,8.429352319577447,4,0
32,32,32,1,37402,60,0,371.0027825208689,2039.0152926146948,0.0,0.0,24,0
33,33,33,1,36891,49,0,1059.8114340665677,1690.270146896752,92.95703628215416,-4.553523541859021,6,0
34,34,34,1,37211,61,0,763.6329658223005,1879.2064505666929,-211.83498878137118,-89.76685515399708,27,0
