Unnamed: 0,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt2_n0_dx,dt2_n0_dy,tid_lap_pred,ID_next,dist_link,u_flag,track_id_unique_pred,track_id_parent_pred,predicted
0,0,18054,65,0,428.9590486779956,1950.4373658203808,12.728204214148946,36.78327830794001,1,14321,38.92321602329941,1,1,0,0
1,0,17864,46,0,949.7850026738267,1817.5011025328195,-0.3134170861802659,-8.777871365567991,2,13046,8.783464918832438,0,2,0,0
2,0,18120,6,0,786.0058950442128,2039.0152926146948,0.0,0.0,3,0,inf,1,3,0,0
3,0,16207,15,0,345.0282801311727,686.8368254172561,-23.13273991356289,-9.56849108038193,4,3652,25.033571009024943,0,4,0,0
4,0,16272,5,0,2039.0152926146948,735.0055125413443,0.0,0.0,5,0,inf,1,5,0,0
5,0,17300,2,0,328.01068929193434,1431.3171503115345,-3.7005476523336815,-19.119355567050434,6,9588,19.474183172254065,0,6,0,0
6,0,17492,26,0,217.94980770221943,1608.0382144125842,-14.064754079793715,-8.165262454372396,7,10315,16.263112195206233,0,7,0,0
7,0,16340,52,0,718.4197555266521,799.5513916003624,-15.945651699362427,9.541197181213988,8,4378,18.582202554277192,0,8,0,0
8,0,15772,7,0,1670.014872001965,376.7494521893855,4.984377839884019,5.891576669293612,9,1710,7.717169047059443,0,9,0,0
9,0,17699,24,0,1426.3879749356186,1727.0930188136056,-9.76168759565644,22.0106683839224,10,12131,24.078207313299266,0,10,0,0
10,0,15907,49,0,1774.081374151227,463.7246800163336,16.330868014426187,-9.638248935209957,11,2143,18.962939978855907,0,11,0,0
11,0,16168,39,0,1404.9091185636773,654.3370252401845,-14.372702264127385,1.3824975679390263,12,3562,14.439039784508159,0,12,0,0
12,0,16044,1,0,1340.9990297681113,571.4304931007358,33.894467233387786,-36.024781174421946,13,2789,49.46331739481476,1,13,0,0
13,0,16236,29,0,780.9765452797886,710.0042190436708,4.13161853624149,-18.379290543364164,14,3739,18.83795616850241,0,14,0,0
14,0,16813,8,0,1033.6836677676206,1139.6291945317605,0.0,0.0,15,0,inf,1,15,0,0
15,0,17389,64,0,1147.7960274338946,1518.8376904654638,-22.16494867073561,-0.07973746368929824,16,10037,22.165092096345102,0,16,0,0
16,0,15919,55,0,1157.3256128303112,473.34530984754883,-59.09703469923489,-62.754396374195395,17,1771,86.20077595087069,1,17,0,0
17,0,16433,51,0,1895.8293302187478,873.8268066012025,0.529809972908879,-15.792061582132645,18,4539,15.800946415365866,0,18,0,0
18,0,17526,66,0,1524.1701848933599,1623.3530095597641,12.08299755594362,-56.61224601141771,19,10169,57.88734946768806,1,19,0,0
19,0,15992,50,0,1790.937682503407,524.8326331342256,-18.395651550712728,-11.859303250745256,20,2733,21.887052555526253,0,20,0,0
20,0,16634,59,0,676.3062714515261,994.8937254707467,-64.32059385639616,-7.731218567536532,21,5909,64.78356685594349,1,21,0,0
21,0,17404,36,0,1486.633665666976,1529.6884166977813,-25.272434589500328,9.751478853250546,22,10122,27.08850844742022,0,22,0,0
22,0,16446,25,0,1368.5004496165566,883.7157100492489,14.850101451251247,-43.005878593761956,23,4463,45.49759451590646,1,23,0,0
23,0,15679,58,0,1725.6286368421752,332.4609790448667,19.10992431916384,17.195886152822087,24,1533,25.707736346574546,0,24,0,0
24,1,12131,24,0,1416.626287339962,1749.1036871975284,-35.30075460575722,95.66355045712635,10,14410,101.96890781899627,1,10,0,0
25,1,3652,15,0,321.89554021760983,677.2683343368742,-29.68281423782065,-2.8860286380247544,4,5834,29.822786965279878,0,4,0,0
26,1,2789,1,0,1374.893497001499,535.4057119263139,14.670907983303552,-16.292859718035633,13,5046,21.924707953497304,0,13,0,0
27,1,10122,36,0,1461.3612310774756,1539.4398955510314,-9.257368572791847,26.27601231721292,22,12459,27.859068473063694,0,22,0,0
28,1,3562,39,0,1390.53641629955,655.7195228081234,-36.0416046352566,33.03359451729,12,5976,48.889831574846646,1,12,0,0
29,1,10315,26,0,203.8850536224257,1599.8729519582114,-3.4354294385256314,-5.671090623468897,7,12638,6.630493517580713,0,7,0,0
30,1,1771,55,0,1098.2285781310763,410.5909134733533,-19.36793075550645,-46.66521257878743,17,3630,50.52483356502545,1,17,0,0
31,1,6765,9,8,998.1481068018387,1136.1251132544544,22.255453536390974,-30.04237570830924,25,8745,37.38782623140389,1,25,0,0
32,1,2733,50,0,1772.5420309526944,512.9733298834803,0.8882074447544709,3.3980975812204406,20,5023,3.5122613280353536,0,20,0,0
33,1,1710,7,0,1674.999249841849,382.6410288586792,1.0080230515955009,6.249019679586012,9,3713,6.329799161774446,0,9,0,0
34,1,4463,25,0,1383.3505510678076,840.7098314554869,25.169621983302477,-44.355955754077634,23,6547,50.99961452442581,1,23,0,0
35,1,14321,65,0,441.68725289214456,1987.2206441283206,-33.68419286919442,51.79464848637417,1,14804,61.784386871410724,1,1,0,0
36,1,7059,12,8,978.8047950355856,1172.2596312393853,-57.88705407532871,-23.828735555664483,26,8967,62.599677856214505,1,26,0,0
37,1,9588,2,0,324.31014163960066,1412.1977947444839,25.911017158710308,-10.913922165568238,6,11483,28.115734157852874,0,6,0,0
38,1,5909,59,0,611.9856775951298,987.1625069032104,-43.88050702536658,-6.659206434485212,21,7961,44.38292382369978,1,21,0,0
39,1,10037,64,0,1125.631078763159,1518.757953001775,-26.337481519156427,13.985921601023163,16,12331,29.820612599372808,0,16,0,0
40,1,13046,46,0,949.4715855876466,1808.723231167252,8.516004634292356,-2.9538694318264334,2,14209,9.013749472421019,0,2,0,0
41,1,10169,66,0,1536.2531824493035,1566.7407635483462,-3.7278092451267635,-12.937369096185419,19,12409,13.463732056862627,0,19,0,0
42,1,4378,52,0,702.4741038272897,809.0925887815764,-12.613749448214548,6.683667219678228,8,6584,14.27508608190266,0,8,0,0
43,1,3739,29,0,785.1081638160301,691.6249285003064,7.045015204479455,-22.800671878858108,14,5819,23.864259413581248,0,14,0,0
44,1,4539,51,0,1896.3591401916565,858.0347450190699,11.536795840739842,-8.043319171394499,18,6634,14.063877188166284,0,18,0,0
45,1,1533,58,0,1744.738561161339,349.65686519768883,29.171540815928665,22.088921021158853,24,3653,36.590971911857885,1,24,0,0
46,1,2143,49,0,1790.4122421656534,454.08643108112364,3.754422680510288,2.5296441956871263,11,4191,4.527117120276802,0,11,0,0
47,2,3713,7,0,1676.0072728934445,388.89004853826515,-1.5658702887301388,10.422268020144486,9,4214,10.539241929325575,0,9,0,0
48,2,14209,46,0,957.987590221939,1805.769361735425,-9.242646047689503,1.8899186574565192,2,14832,9.433890952023596,0,2,0,0
49,2,3653,58,0,1773.9101019772675,371.7457862188477,11.380028093830106,24.311274976602192,24,4201,26.842934459636282,0,24,0,0
50,2,8967,12,8,920.9177409602568,1148.4308956837208,-33.086026547812374,9.237909266943916,26,10335,34.351479158062894,1,26,0,0
51,2,5834,15,0,292.2127259797892,674.3823056988494,-30.64755244564555,-7.115330034732892,4,6091,31.46268253680487,1,4,0,0
52,2,14410,24,0,1381.3255327342056,1844.7672376546545,-43.427282601129264,18.84977610344617,10,14974,47.34176732303562,1,10,0,0
53,2,14801,69,0,750.4229709170113,2012.775181957414,81.27137063737428,-8.97121645308357,28,15270,81.76501947609108,1,28,0,0
54,2,14802,72,0,948.2367854210576,2021.7291760521314,43.11430624453499,-33.0048565617808,29,15238,54.296997703476144,1,29,0,0
